,habit,disorder,void_volume,molecule_name,crystal_system,calculated_density,packing_coefficient,2theta_0,2theta_1,2theta_2,2theta_3,2theta_4,2theta_5,2theta_6,2theta_7,2theta_8,2theta_9,Fe,S,Y,W,Sn,Ni,Ag,Na,Er,P,Hg,N,Rh,F,Dy,Co,La,Tm,K,Nd,C,Pt,Ti,Rb,Ga,U,Sm,Ge,As,Sc,V,Lu,Gd,H,Mn,Yb,Cs,Th,Mg,Cr,I,Sb,Be,Ca,Ce,Al,In,Cd,Sr,Np,Eu,Ir,Tb,Pu,Re,Hf,Ru,Li,Au,Cu,B,Ho,Mo,Ba,Pd,Zn,Pb,Se,Pr,Nb,Cl,Br,Te,Zr,Bi,Si,O
20,,0,32.85502958579882,cifs/ACAJIY_clean.cif,triclinic,1.0939118980086078,0.47434117728862046,10.3,10.32,10.280000000000001,10.34,10.26,10.36,10.24,10.100000000000001,10.379999999999999,10.08,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
21,,0,27.98993325309115,cifs/ACAJIZ_clean.cif,triclinic,1.3014627755195205,0.535065240139236,6.9,6.92,6.88,6.9399999999999995,6.86,6.96,6.84,6.98,7.58,7.6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
22,,0,29.742273131233336,cifs/ACAJOF_clean.cif,triclinic,1.2186983986805122,0.5121250921507003,6.26,6.28,6.24,6.3,6.22,6.32,6.2,6.34,6.18,7.46,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
23,,0,23.9247311827957,cifs/ACAKUM_clean.cif,triclinic,1.5902637060620384,0.5696950511765326,10.879999999999999,10.9,10.86,10.92,10.84,10.940000000000001,10.82,15.98,15.22,15.24,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
24,,0,20.267857142857142,cifs/ACALIB_clean.cif,triclinic,1.786668097216713,0.5937048883353618,11.379999999999999,11.4,11.36,11.42,11.34,26.580000000000002,15.48,11.440000000000001,15.5,26.6,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
25,,0,7.070135746606335,cifs/ACECIV_ion_b.cif,triclinic,2.6019375756177032,0.7817085284518235,10.68,10.7,10.66,10.719999999999999,10.64,13.18,10.74,10.620000000000001,13.2,13.16,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,60,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,48
26,,0,30.8143469433792,cifs/ACIBIY_clean.cif,triclinic,1.735160544571889,0.5386121814693243,9.66,10.58,9.9,10.56,9.64,9.92,9.68,9.879999999999999,10.600000000000001,10.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
27,,0,56.8,cifs/ACIBOE_clean.cif,triclinic,1.101039513423969,0.35698900725722266,10.8,10.82,8.58,10.780000000000001,8.6,8.56,10.84,10.76,8.620000000000001,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,52
28,,0,46.86624649859944,cifs/ACODON_clean.cif,triclinic,1.149226981904219,0.4124080738192912,8.36,8.379999999999999,7.9399999999999995,8.34,8.4,7.92,7.96,7.9,8.32,8.42,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
29,,0,24.525714285714287,cifs/ACODUT_clean.cif,triclinic,1.5191069765710778,0.5710217138648839,5.98,5.96,6.0,5.94,6.02,5.92,6.04,15.86,5.9,15.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,78,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
30,,0,36.53333333333333,cifs/ACOGAB_clean.cif,triclinic,1.15455669301109,0.46029900332225915,10.82,10.84,9.280000000000001,9.26,10.8,10.86,9.3,9.24,5.52,5.5,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8
31,,0,35.861333333333334,cifs/ACOGEF_clean.cif,triclinic,1.25950121636473,0.46569844489519946,10.719999999999999,10.7,10.74,5.46,5.44,10.68,5.48,5.42,9.379999999999999,10.76,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
32,,0,3.9377289377289375,cifs/ACOLEL_clean.cif,triclinic,1.454786124830231,0.6660247605096364,23.14,23.16,23.12,14.38,14.4,16.200000000000003,16.18,14.36,23.18,23.1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,190,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
33,,0,37.7821716922063,cifs/ACOLIP_clean.cif,triclinic,1.0495091095379014,0.46824313537675605,9.0,9.52,8.98,9.02,9.5,9.54,8.96,9.04,9.48,9.56,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8
34,,0,59.942920564452194,cifs/ACOLOV_clean.cif,triclinic,0.8634025305080287,0.3231791743086104,7.32,7.300000000000001,7.34,7.28,6.46,6.48,7.359999999999999,8.14,8.16,6.4399999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
35,,0,44.62733957219251,cifs/acs.cgd.5b01554_VAGNUP1452791_clean.cif,triclinic,1.4704663197994001,0.43328504748108804,6.98,6.96,7.0,6.9399999999999995,7.02,6.92,7.04,6.9,7.12,7.140000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,96
36,,0,30.128205128205128,cifs/acs.cgd.5b01686_WAHFUJ1434675_clean.cif,triclinic,1.284619718890223,0.5261677622788734,7.1,7.12,7.08,7.140000000000001,7.0600000000000005,8.5,8.48,8.52,7.16,7.04,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
37,,0,17.018950437317784,cifs/acs.cgd.6b00163_UKEBOD1448508_clean.cif,triclinic,1.6161653316822702,0.6145575054605709,5.2,5.18,5.22,8.58,8.56,5.16,8.6,5.24,8.54,8.620000000000001,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,64
38,,0,58.899377893518526,cifs/acs.cgd.6b00463_OLOMUZ1451936_clean.cif,triclinic,1.0760977918786385,0.32488458250213736,5.22,5.2,5.24,5.18,5.26,5.16,5.28,5.14,7.04,5.3,0,72,0,0,0,0,72,0,0,0,0,72,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
39,,0,64.4638807904114,cifs/acs.chemmater.5b03723_cm5b03723_si_004_clean.cif,triclinic,0.772585343348557,0.3058703513879208,6.1,10.58,6.12,10.600000000000001,10.56,6.08,6.140000000000001,10.620000000000001,10.54,6.0600000000000005,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
40,,0,70.3271784904438,cifs/acs.chemmater.5b03723_cm5b03723_si_005_clean.cif,triclinic,0.645135919019077,0.2612045231956444,6.08,6.1,10.54,6.0600000000000005,10.56,6.12,10.52,10.58,6.04,6.140000000000001,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
41,,0,63.56201171875,cifs/acs.chemmater.6b02817_cm6b02817_si_004_clean.cif,triclinic,0.8976834196836173,0.32522614575507136,8.04,8.06,8.02,8.08,8.0,8.1,7.98,8.120000000000001,7.96,8.14,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
42,,0,63.054412437128484,cifs/acs.chemrev.6b00346_cr6b00346_si_001_clean.cif,triclinic,0.9064595529374144,0.3068786620866108,6.74,6.72,6.76,10.66,10.64,6.7,10.68,6.78,10.620000000000001,10.7,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,12
43,,0,42.61363636363637,cifs/acscombsci.5b00188_24205_clean.cif,triclinic,1.2624835325858952,0.44561496499480996,10.64,10.66,10.620000000000001,10.68,10.600000000000001,8.4,8.379999999999999,10.7,10.58,8.42,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8
44,,0,93.03475839120371,cifs/acscombsci.5b00188_3001288_clean.cif,triclinic,0.15612352955179945,0.06115953325774754,6.46,6.4399999999999995,6.48,8.120000000000001,8.14,6.42,8.1,6.5,8.16,6.4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
45,,0,45.814732142857146,cifs/acscombsci.5b00188_34903_clean.cif,triclinic,2.165820187883209,0.4583929742947456,9.68,9.66,9.7,9.64,9.719999999999999,9.620000000000001,9.74,9.600000000000001,9.76,19.42,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8
46,,0,66.18666666666667,cifs/acscombsci.5b00188_5013797_clean.cif,triclinic,0.6649872373575583,0.2751015134736065,5.18,5.16,5.2,5.14,5.22,5.12,7.02,7.0,5.24,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,22
