Cr-soc-MOF-1 TCPT
AlFFIVE-1-Ni Pyrazine
DUT-52(Zr) "2
[PbL2]·2DMF·6H2O L
(H2dab)[Zn2(ox)3] ox/dab
MIL-91(Ti) PMPA
CAU-10(Al)-OH "1
CAU-10(Al)-NH2 "1
UiO-67(Zr)-BIPY BIPY
MOF-804(Zr) (OH)2-BDC
UiO-66(Zr)-(CH3)2 (CH3)2-BDC
MIL-53(Al)-F2 F2-BDC
MUF-77(Zn)-butyl "HBTT
MIL-53(Al)-(OH)0.53(NH2).47 NH2-/OH-BDC
[Co4L3(μ3-OH)(H2O)3](SO4)0.5 TAPP
Cu2(dmcapz)2 dmcapz
DUT-53(Hf) "2
Zn(BTTB) BTTB
Zn(BTTB)(DMBPY) BTTB/DMBPY
Zn3L2 TCBPTA
Zn-Trimesate BTC
Cu2(pmpmd)2(CH3OH)4(opd)2 pmpmd/opd
DUT-69(Hf) TDC
IPM-MOF-201(Ni) IPA
[Co(DPE)].0.5DPE DPE
Basolite™ A100(MIL-53)(Al) BDC
Zn(BTTB)(AZPY) BTTB/AZPY
MUF-77(Zn)-methyl "HMTT
Co(BTTB)(DMBPY) BTTB/DMBPY
Cd2(sdb)2(pcih)2 "SDB
UiO-66(Zr)-(CF3)2 BDC-(CF3)2
MIL-53(Ga)-NH2 NH2-BDC
CuEBTC C2H5-BTC
CAU-10(Al)-NH2 "1
CuMBTC CH3-BTC
CAU-8(Al) BPDC
CAU-10(Al)-CH3 "1
UiO-67(Zr) BPDC
MIL-47(V)-F F-BDC
LA1-Zr68-flu LA1
MIL-47(V)-F2 F2-BDC
Cu2(pzdc)2bpy Pzdc/bpy
UiO-66(Zr)-(OH)2 BDC-(OH)2
CAU-10(Al)-NO2 "1
LB1-Zr68-flu LB1
STAM-17(Cu)-OEt MPA
MIL-53(Fe)-(COOH)2 (COOH)2-BDC
UiO-66(Zr)-OH BDC-OH
Zn2(bptc) Bptc
CAU-13(Al) CDC
"Al(OH)-(1 4-NDC)"
AlaZnCl ALa
MUF-7a(Zn) "BTB
CoNIm NIm
SIFSIX-3-Ni Pyrazine
SIFSIX-14-Cu-i BPDA
[Cd(L7)(DMF)] L7
MOS-2(Co) "IDC
ThrZnOAc Thr
Zn(NO2-BDC)(dmbpy)0.5 "BDC-NO2
SIFSIX-1-Cu BPD
MIL-53(Al)-Cl Cl-BDC
SIM-1(Zn) mImca
DMOF(Zn)-NO2 NO2-BDC/DABCO
ValZnCl Val
MUF-77(Zn)-hexyl "HHTT
MOS-3(Co) "IDC
Cd3L2 TCBPTA
kag-MOF-1(Zn) HCN4
MIL-53(Al)-NO2 NO2-BDC
Cu2(pzdc)2pyz Pzdc/pyz
([Ni(L6)2]·4H2O)n L6
MIL-125(Ti)-NHCyp BDC-NHCyp
1DUT-84(Zr) "2
UiO-66(Zr)-(C2H5)2 BDC-(C2H5)2
MIL-53(Al)-(OH)0.34(NH2)0.66 NH2-/OH-BDC
[Cd(L’3)(Cl)](H2O)2 L’3
JUC-110(Cd) THIPC
MIL-53(Al)-CH3 CH3-BDC
DMOF(Zn)-OH OH-BDC/DABCO
MIL-53(Al)-Br Br-BDC
PCP-1(La) BTN
MUF-77(Zn)-octyl "HOTT
MUF-77(Zn)-decyl "HDTT
MIL-53(Cr) BDC
HV-MOF-1(Er) DCBP
MIL-53(Al)-NH2 NH2-BDC
[Cd(L’2)(Cl)](H2O) L’2
MIL-53(Al) BDC
MIL-53(Al) BDC
DMOF(Zn) BDC/DABCO
MOF-802(Zr) PZDC
Zn(BTTB)(BDC) BTTB/BDC
CALF-25(Ba) PytPh
MIL-53(Al)-NH2 NH2-BDC
Zn(PM)0.5(AT) "PM
MIL-53(Al)ionothermal BDC
CAU-10(Al)-OCH3 "1
DMOF(Zn)-NH2 NH2-BDC/DABCO
Ga-MIL-53 BDC
DMOF(Zn)-Cl2 Cl2-BDC/DABCO
AlaZnBr Ala
ZIF-412(Zn) "BIM
MIL-53(Al)-F F-BDC
"MOF-1 (Ce  Eu)"
MIL-53(Ga) BDC
DMOF(Zn)-Br Br-BDC/DABCO
23R (Co) (R)-3-Cl-man
[Cd2(L’2)2(Br)2](H2O)3 L’2
33R (Co) (R)-4-Cl-man
Cu(mtpm)Cl2 MTPM
3S (Co) (S)-man
La(pyzdc)1.5 PYZDC
13R (Co) (R)-2-Cl-man
43R (Co) (R)-4-Me-man
Ni(BTTB) BTTB
Co(BTTB)(BPY) BTTB/BPY
ZIF-8(Zn) mIm
MAF-4(ZIF-8) mIm
DMOF(Zn)-N NDC/DABCO
ZIF-71(Zn) dcIm
